# Generated by scripts/ship-balance/generate_hull_variant_report.py from measured x6 drive-resource envelopes.
dataName,deLavalAppearanceScales,magneticAppearanceScales
Battlecruiser,2.179095|3.287911|5.626481|5.637461,2.001142|3.287549|3.499318|4.684833
Battleship,3.344770|2.846865|5.626481|8.893183,3.599695|2.899977|3.499318|7.390387
Corvette,1.000000|1.276902|1.095817|1.778657,1.000000|0.901819|0.651092|1.478097
Cruiser,4.150085|2.609292|5.626481|5.637461,2.859339|2.737858|3.499318|4.684833
Destroyer,1.000000|2.041479|4.219133|3.917292,1.000000|1.704456|2.624041|3.255340
Dreadnought,6.743748|6.901653|11.769077|12.048279,4.324953|6.757068|7.319640|10.012335
Escort,1.000000|1.276902|0.668230|1.596452,1.000000|0.901819|0.397033|1.326684
Frigate,1.553163|1.276902|1.774877|2.302341,1.376526|0.901819|1.054558|1.913292
Gunship,1.000000|1.276902|0.668230|1.596452,1.000000|0.901819|0.397033|1.326684
Lancer,1.715049|2.846865|8.542784|9.830835,1.715052|2.899977|5.313082|8.169598
Monitor,1.000000|1.276902|4.219133|3.917292,1.000000|0.901819|2.624041|3.255340
Titan,8.111787|10.028749|14.660490|25.203374,6.593247|10.392207|9.117921|20.944447
