# Generated by scripts/ship-balance/generate_hull_variant_report.py from the maintained measured-volume report.
dataName,appearanceVolumes_m3
AlienAssaultCarrier,419181.822345
AlienBattlecruiser,172807.622187
AlienBattleship,201325.225328
AlienCorvette,13174.451263
AlienCruiser,57947.517795
AlienDestroyer,47314.412734
AlienDreadnought,302989.802622
AlienEscort,7358.229100
AlienFrigate,30659.926821
AlienGunship,10892.207477
AlienLancer,166671.706039
AlienMonitor,75475.814818
AlienMothership,49197068.556474
AlienTitan,349989.244758
Battlecruiser,43684.422123|162618.495218|80740.993279|205738.660377
Battleship,105142.667670|164048.422723|134463.754304|168180.615798
Corvette,5070.771061|10445.991443|13890.245741|11004.382981
Cruiser,45819.948385|143362.034026|96768.961828|202070.381704
Destroyer,22061.954731|66132.583930|42867.288585|62885.428219
Dreadnought,272229.435950|410481.618817|207412.754560|542945.652925
Escort,6701.582165|6946.026661|5774.458438|5625.382378
Frigate,13692.464509|13923.559050|18459.201811|22332.808913
Gunship,11019.664214|6474.448755|3452.257356|3574.852162
Lancer,152598.424445|215348.959487|259685.278284|256682.460941
Monitor,17160.430191|30394.781800|45073.216601|48694.693266
STOFighter,4081.717091
SalamanderGunship,14539.464246
Titan,514552.084509|865494.884959|407508.818065|987672.365761
