country_id,country,iso_codes,scenario_presence,2003_vanilla_region_count,2003_vanilla_population,2003_vanilla_gdp_template_usd,2003_vanilla_global_gdp_scaling,2003_vanilla_gdp_effective_usd,2003_vanilla_gdp_per_capita,2003_imf_population,2003_us_gdp_deflator,2003_to_2022_usd_multiplier,2003_nominal_gdp_2022_usd,2003_nominal_gdp_per_capita_2022_usd,2003_ppp_gdp_2022_intl_dollars,2003_ppp_gdp_per_capita_2022_intl_dollars,2003_population_coverage,2003_nominal_coverage,2003_ppp_coverage,2022_vanilla_region_count,2022_vanilla_population,2022_vanilla_gdp_template_usd,2022_vanilla_global_gdp_scaling,2022_vanilla_gdp_effective_usd,2022_vanilla_gdp_per_capita,2022_imf_population,2022_us_gdp_deflator,2022_to_2022_usd_multiplier,2022_nominal_gdp_2022_usd,2022_nominal_gdp_per_capita_2022_usd,2022_ppp_gdp_2022_intl_dollars,2022_ppp_gdp_per_capita_2022_intl_dollars,2022_population_coverage,2022_nominal_coverage,2022_ppp_coverage,2026_vanilla_region_count,2026_vanilla_population,2026_vanilla_gdp_template_usd,2026_vanilla_global_gdp_scaling,2026_vanilla_gdp_effective_usd,2026_vanilla_gdp_per_capita,2026_imf_population,2026_us_gdp_deflator,2026_to_2022_usd_multiplier,2026_nominal_gdp_2022_usd,2026_nominal_gdp_per_capita_2022_usd,2026_ppp_gdp_2022_intl_dollars,2026_ppp_gdp_per_capita_2022_intl_dollars,2026_population_coverage,2026_nominal_coverage,2026_ppp_coverage,quality_flags,imf_source_url
AFG,Afghanistan,AFG,2003|2022|2026,1,22733049,14740350877,1.59,23437157894,1031,22645130,77.006115,1.532642193415419,6977842498,308,38632453490,1706,complete,complete,complete,1,41044223,71202560000,1,71202560000,1735,40579000,118.022821,1,14500770000,357,86134897000,2123,complete,complete,complete,1,45047069,63810560000,0.87,55515187200,1232,,132.681448,0.8895201460267452,,,,,missing; missing AFG,missing; missing AFG,missing; missing AFG,"2026: pop=missing, nominal=missing, ppp=missing",https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SBK,Albania,ALB,2003|2022|2026,1,3118088,9792397661,1.59,15569912281,4993,3039616,77.006115,1.532642193415419,8523605642,2804,25643830466,8437,complete,complete,complete,1,2864358,43847760000,1,43847760000,15308,2777689,118.022821,1,19188560000,6908,51631601000,18588,complete,complete,complete,1,2751025,55510400000,0.87,48294048000,17555,2668237,132.681448,0.8895201460267452,29650652558,11112,59923328763,22458,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
DZA,Algeria,DZA,2003|2022|2026,2,32175818,162825146199,1.59,258891982456,8046,31885000,77.006115,1.532642193415419,112622018274,3532,426308499861,13370,complete,complete,complete,2,45578284,515834000000,1,515834000000,11318,45290853,118.022821,1,225709179000,4984,720069494000,15899,complete,complete,complete,2,48028334,770293920000,0.87,670155710400,13953,47850615,132.681448,0.8895201460267452,282132006330,5896,837522703283,17503,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
AGO,Angola,AGO,2003|2022|2026,2,17943712,46713450292,1.59,74274385964,4139,17943712,77.006115,1.532642193415419,31177203677,1738,124244744444,6924,complete,complete,complete,2,35373918,213211680000,1,213211680000,6027,35635029,118.022821,1,139170645000,3905,336158298000,9433,complete,complete,complete,2,40215180,353896400000,0.87,307889868000,7656,40584269,132.681448,0.8895201460267452,135522367734,3339,377109254135,9292,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ARG,Argentina,ARG,2003|2022|2026,3,38424280,285999415205,1.59,454739070176,11835,37869730,77.006115,1.532642193415419,218296334991,5764,749552712888,19793,complete,complete,complete,3,46135796,1052111280000,1,1052111280000,22805,46234830,118.022821,1,633520291000,13702,1353339827000,29271,complete,complete,complete,3,46003732,1311344320000,0.87,1140869558400,24800,47948498,132.681448,0.8895201460267452,612326379280,12771,1415483140641,29521,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ARM,Armenia,ARM,2003|2022|2026,1,3038968,7950877193,1.59,12641894737,4160,3164900,77.006115,1.532642193415419,4302272238,1359,20916651572,6609,complete,complete,complete,1,2973185,41240320000,1,41240320000,13871,2984150,118.022821,1,19513693000,6539,56869163000,19057,complete,complete,complete,1,2930915,65378720000,0.87,56879486400,19407,3061817,132.681448,0.8895201460267452,28351728096,9260,73601209635,24038,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
AUS,Australia,AUS,2003|2022|2026,6,19819451,370715789474,1.59,589438105264,29740,19827155,77.006115,1.532642193415419,830729535802,41899,973432208971,49096,complete,complete,complete,6,26155303,1412572480000,1,1412572480000,54007,26320285,118.022821,1,1731233002000,65776,1739877149000,66104,complete,complete,complete,6,27227093,1743871360000,0.87,1517168083200,55723,28076986,132.681448,0.8895201460267452,1889308173236,67290,1867003402203,66496,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ALP,Austria,AUT+LIE,2003|2022|2026,1,8122602,174208771930,1.59,276991947369,34101,8152539,77.006115,1.532642193415419,404693132040,49640,458182108563,56201,complete,complete,complete,1,9072935,512271760000,1,512271760000,56462,9017967,118.022821,1,481020440000,53340,649426725000,72015,complete,complete,complete,1,9107266,528807558400,0.87,460062575808,50516,9246281,132.681448,0.8895201460267452,563209045325,60912,648608249750,70148,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
AZE,Azerbaijan,AZE,2003|2022|2026,1,8400530,19721637427,1.59,31357403509,3733,8269200,77.006115,1.532642193415419,11151145961,1349,51687536477,6251,complete,complete,complete,1,10323606,154579040000,1,154579040000,14973,10063300,118.022821,1,78807471000,7831,228681343000,22724,complete,complete,complete,1,10454855,239448000000,0.87,208319760000,19926,10496068,132.681448,0.8895201460267452,69713740630,6642,250218587088,23839,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
BAH,Bahamas,BHS,2003|2022|2026,1,335618,5448538012,1.59,8663175439,25813,317966,77.006115,1.532642193415419,13594669595,42755,14261730653,44853,complete,complete,complete,1,401623,13951520000,1,13951520000,34738,399314,118.022821,1,13896810000,34802,14623598000,36622,complete,complete,complete,1,404629,14099360000,0.87,12266443200,30315,416763,132.681448,0.8895201460267452,15159617734,36375,16351077488,39234,complete,complete,complete,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
