country_id,country,iso_codes,population_scope_codes,scenario_year,scenario_gdp_scaling,vanilla_population,proposed_population,population_scale,population_delta_percent,population_manual_review,population_geography_note,vanilla_json_initial_gdp,vanilla_effective_gdp,vanilla_gdp_per_capita,nominal_gdp_per_capita_after_scenario_scaling,ppp_gdp_per_capita_after_scenario_scaling,lower_bound_gdp_per_capita,upper_bound_gdp_per_capita,proposed_gdp_per_capita,decision,proposed_effective_gdp_after_scenario_scaling,proposed_json_initial_gdp,population_method,nominal_method,ppp_method,review_flag,un_wpp_source_url,imf_source_url,world_bank_source_url
AFG,Afghanistan,AFG,AFG,2003,1.59,22733049,22733049,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,14740350877,23437157894,1031,318,1763,318,1763,1031,kept_vanilla,23437157894,14740350877,AFG: UN WPP 2024 Medium exact 2003,AFG: IMF exact 2003,AFG: IMF exact 2003,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
AFG,Afghanistan,AFG,AFG,2022,1,41044223,40578842,0.9886614737474748,-1.1338526252525183,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,71202560000,71202560000,1735,357,2123,357,2123,1735,kept_vanilla,70395227904,70395227904,AFG: UN WPP 2024 Medium exact 2022,AFG: IMF exact 2022,AFG: IMF exact 2022,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
AFG,Afghanistan,AFG,AFG,2026,0.87,45047069,45047069,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,63810560000,55515187200,1232,409,2054,409,2054,1232,kept_vanilla,55515187200,63810560000,AFG: UN WPP 2024 Medium exact 2026,"AFG: peer-growth inference from IMF 2025; Middle East, North Africa, Afghanistan & Pakistan median 1.83%/yr (18 peers, capped at ±8%)","AFG: peer-growth inference from IMF 2025; Middle East, North Africa, Afghanistan & Pakistan median -0.39%/yr (19 peers, capped at ±8%)",inferred,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
SBK,Albania,ALB,ALB,2003,1.59,3118088,3118088,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,9792397661,15569912281,4993,2836,8532,2836,8532,4993,kept_vanilla,15569912281,9792397661,ALB: UN WPP 2024 Medium exact 2003,ALB: IMF exact 2003,ALB: IMF exact 2003,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
SBK,Albania,ALB,ALB,2022,1,2864358,2827608,0.987169899851904,-1.2830100148096046,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,43847760000,43847760000,15308,6786,18260,6786,18260,15308,kept_vanilla,43285188848,43285188848,ALB: UN WPP 2024 Medium exact 2022,ALB: IMF exact 2022,ALB: IMF exact 2022,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
SBK,Albania,ALB,ALB,2026,0.87,2751025,2751025,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,55510400000,48294048000,17555,10542,21304,10542,21304,17555,kept_vanilla,48294048000,55510400000,ALB: UN WPP 2024 Medium exact 2026,ALB: IMF exact 2026,ALB: IMF exact 2026,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
DZA,Algeria,DZA,DZA,2003,1.59,32175818,32175818,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,162825146199,258891982456,8046,3631,13745,3631,13745,8046,kept_vanilla,258891982456,162825146199,DZA: UN WPP 2024 Medium exact 2003,DZA: IMF exact 2003,DZA: IMF exact 2003,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
DZA,Algeria,DZA,DZA,2022,1,45578284,45477389,0.9977863361420101,-0.22136638579899337,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,515834000000,515834000000,11318,4963,15834,4963,15834,11318,kept_vanilla,514692116917,514692116917,DZA: UN WPP 2024 Medium exact 2022,DZA: IMF exact 2022,DZA: IMF exact 2022,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
DZA,Algeria,DZA,DZA,2026,0.87,48028334,48028334,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,770293920000,670155710400,13953,5745,17055,5745,17055,13953,kept_vanilla,670155710400,770293920000,DZA: UN WPP 2024 Medium exact 2026,DZA: IMF exact 2026,DZA: IMF exact 2026,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
AGO,Angola,AGO,AGO,2003,1.59,17943712,17943712,1,0,no,Single-country territory; UN WPP and vanilla are within the ±5% review threshold.,46713450292,74274385964,4139,1803,7183,1803,7183,4139,kept_vanilla,74274385964,46713450292,AGO: UN WPP 2024 Medium exact 2003,AGO: IMF exact 2003,AGO: IMF exact 2003,complete_primary,https://www.un.org/development/desa/pd/world-population-prospects-2024,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/,https://api.worldbank.org/v2/
