country_id,country,iso_codes,2003_vanilla_gdp_per_capita,2003_nominal_gdp_per_capita_2022_usd,2003_ppp_gdp_per_capita_2022_intl_dollars,2022_vanilla_gdp_per_capita,2022_nominal_gdp_per_capita_2022_usd,2022_ppp_gdp_per_capita_2022_intl_dollars,2026_vanilla_gdp_per_capita,2026_nominal_gdp_per_capita_2022_usd,2026_ppp_gdp_per_capita_2022_intl_dollars,quality_flags,imf_source_url
AFG,Afghanistan,AFG,1031,308,1706,1735,357,2123,1232,,,"2026: pop=missing, nominal=missing, ppp=missing",https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
SBK,Albania,ALB,4993,2804,8437,15308,6908,18588,17555,11112,22458,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
DZA,Algeria,DZA,8046,3532,13370,11318,4984,15899,13953,5896,17503,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
AGO,Angola,AGO,4139,1738,6924,6027,3905,9433,7656,3339,9292,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ARG,Argentina,ARG,11835,5764,19793,22805,13702,29271,24800,12771,29521,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ARM,Armenia,ARM,4160,1359,6609,13871,6539,19057,19407,9260,24038,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
AUS,Australia,AUS,29740,41899,49096,54007,65776,66104,55723,67290,66496,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
ALP,Austria,AUT+LIE,34101,49640,56201,56462,53340,72015,50516,60912,70148,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
AZE,Azerbaijan,AZE,3733,1349,6251,14973,7831,22724,19926,6642,23839,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
BAH,Bahamas,BHS,25813,42755,44853,34738,34802,36622,30315,36375,39234,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
BGD,Bangladesh,BGD,1722,816,2969,5820,2731,8493,7673,2590,9745,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
BLR,Belarus,BLR,6944,2882,11368,18828,7990,27871,26710,10039,31681,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
BGM,Belgium,BEL+LUX,31620,49318,55571,53925,54833,72796,58461,62507,73751,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
BEL,Belize,BLZ,7089,7444,11467,6684,7162,13637,11917,7235,13960,complete,https://api.imf.org/external/sdmx/3.0/data/dataflow/IMF.RES/WEO/9.0.0/
