"data_name","tier","boost","water","volatiles","metals","noble_metals","fissiles","antimatter","exotics","proposed_tons_month"
"AdministrationNode","1","0.5","0","0.015","0.015","0.015","0","0","0","5.45"
"AntimatterTrap","1","0","0","0","0.05","0.015","0","0","0","0.65"
"AutomatedFissionPile","1","0","0.5","0","0","0","0.05","0","0","5.5"
"AutomatedMiningComplex","1","0","1","0.25","0","0","0","0","0","12.5"
"AutomatedOutpostCore","1","0","0","0","0","0","0","0","0","0"
"AutomatedPlatformCore","1","0","0","0","0","0","0","0","0","0"
"AutomatedSolarCollector","1","0","0","0","0","0","0","0","0","0"
"AutomatedSolarMirror","1","0","0","0","0.05","0.015","0","0","0","0.65"
"AutomatedSupplyDepot","1","0","0","0","0","0","0","0","0","0"
"BroadcastOutlet","1","0","0","0","0","0","0","0","0","0"
"ClimateLab","1","0","0","0","0","0","0","0","0","0"
"ConstructionModule","1","0","0.5","0.5","1.5","0.125","0","0","0","26.25"
"EnergyLab","1","0","0","0.5","0","0","0.0005","0","0","5.005"
"FissionPile","1","0","0.5","0.25","0","0","0.05","0","0","8"
"FusionPile","1","0","1","0.5","0","0","0.02","0","0","15.2"
"HeavyFissionPile","1","0","0.5","0.25","0","0","0.075","0","0","8.25"
"HeavyFusionPile","1","0","1","0.5","0.1","0.1","0.02","0","0","17.2"
"HydroponicsBay","1","0","0","0","0","0","0","0","0","0"
"InformationScienceLab","1","0","0","0","0","0","0","0","0","0"
"LifeScienceLab","1","0","0.25","0.25","0","0","0","0","0","5"
"ListeningPost","1","0","0","0","0","0","0","0","0","0"
"MarinePlatoonBarracks","1","0","0","0.5","0.5","0.05","0","0","0","10.5"
"MaterialsLab","1","0","0","0","0.0525","0.0525","0","0","0","1.05"
"MilitaryScienceLab","1","0","0","0","0","0","0","0","0","0"
"OutpostCore","1","0","0","0","0","0","0","0","0","0"
"OutpostMiningComplex","1","0","1","0.25","0","0","0","0","0","12.5"
"ParticleCollider","1","0","1","1","0.5","0.5","0.5","0","0","35"
"PlatformCore","1","0","0","0","0","0","0","0","0","0"
"PointDefenseArray","1","0","0","0.0525","0.0525","0","0","0","0","1.05"
"Quarters","1","0","0.05","0.05","0","0","0","0","0","1"
"SocialScienceLab","1","0","0","0","0","0","0","0","0","0"
"SolarCollector","1","0","0","0","0","0","0","0","0","0"
"SolarMirror","1","0","0","0","0.05","0.015","0","0","0","0.65"
"SpaceDock","1","0","0","0","0.5","0.05","0","0","0","5.5"
"SpaceScienceLab","1","0","0","0","0","0","0","0","0","0"
"SupplyDepot","1","0","0","0","0","0","0","0","0","0"
"TouristBerth","1","0.168","0","0","0","0","0","0","0","1.68"
"XenologyLab","1","0","0","0","0","0","0","0","0","0"
"AdministrationTower","2","2","0","0.05","0.05","0.05","0","0","0","21.5"
"AntimatterHarvester","2","0","0","0","0.25","0.05","0","0","0","3"
"Atomsmasher","2","0","5","5","2.5","2.5","1.5","0","0","165"
"ClimateResearchCenter","2","0","0","0.1","0.1","0.1","0","0","0","3"
"CommunicationsHub","2","0","0","0.0933","0.0933","0.0933","0","0","0","2.8"
"DeepSpaceTelescope","2","0","0","0","0","0","0","0","0","0"
"EnergyResearchCenter","2","0","0","1.5","0.05","0.05","0.0025","0","0","16.025"
"Farm","2","0","0","0","0","0","0","0","0","0"
"FissionReactorArray","2","0","2","1","0","0","0.2","0","0","32"
"FusionReactorArray","2","0","3","2","0","0","0.05","0","0","50.5"
"HeavyFissionReactorArray","2","0","2","1","0","0","0.3","0","0","33"
"HeavyFusionReactorArray","2","0","3","2","0.5","0.5","0.08","0","0","60.8"
"InformationScienceResearchCenter","2","0","0.5","0.05","0.05","0.05","0","0","0","6.5"
"LayeredDefenseArray","2","0","0","0.5","0.5","0.25","0","0","0","12.5"
"LifeScienceResearchCenter","2","0","0.5","0.5","0","0","0","0","0","10"
"MarineCompanyBarracks","2","0","0","1","1","0.1","0","0","0","21"
"MaterialsResearchCenter","2","0","0.5","0.5","0.5","0.25","0","0","0","17.5"
"MilitaryScienceResearchCenter","2","0","0","0.1","0.1","0.1","0","0","0","3"
"Nanofactory","2","0","1.5","1.5","5","0.5","0","0","0","85"
"OperationsCenter","2","0","0","2.5","2.5","1.25","0","0","0","62.5"
"OrbitalCore","2","0","0","0","0","0","0","0","0","0"
"OrbitalHospital","2","0.5","2.5","1.5","0","0","0","0","0","45"
"ReconnaissanceArray","2","0","0","0.5","0.5","0.05","0","0","0","10.5"
"ResearchCampus","2","0","1.5","1.5","0","0","0","0","0","30"
"ResidentialModule","2","0.25","1.5","0.5","0.5","0","0","0","0","27.5"
"SettlementCore","2","0","0","0","0","0","0","0","0","0"
"SettlementMiningComplex","2","0","3.75","1.5","0","0","0","0","0","52.5"
"Shipyard","2","0","0","0","1.5","0.25","0","0","0","17.5"
"SkunkWorks","2","0","0","1.5","1.5","0.15","0","0","0","31.5"
"SocialScienceResearchCenter","2","0","0","0.0933","0.0933","0.0933","0","0","0","2.8"
"SolarArray","2","0","0","0","0","0","0","0","0","0"
"SolarMirrorArray","2","0","0","0","0.5","0.05","0","0","0","5.5"
"SpaceHotel","2","2.1","2.1","1.4","0","0","0","0","0","56"
"SpaceScienceResearchCenter","2","0","0","0.1","0.1","0.1","0","0","0","3"
"XenoscienceResearchCenter","2","0","0","0.1","0.1","0.1","0","0","0","3"
"AdministrationComplex","3","7.4667","0","0.3111","0.3111","0.3111","0","0","0","84"
"AgricultureComplex","3","0","0","0","0","0","0","0","0","0"
"AntimatterFarm","3","0","0","0","1.344","0.896","0","0","0","22.4"
"ArgusComplex","3","0","0","1.5","1.5","0.15","0","0","0","31.5"
"Battlestations","3","0","0","1.8","1.8","0.6","0","0","0","42"
"CivilianComplex","3","0.5","5","3","1","0","0","0","0","95"
"ClimateInstitute","3","0","0","0.5","0.5","0.5","0","0","0","15"
"ColonyCore","3","0","0","0","0","0","0","0","0","0"
"ColonyMiningComplex","3","0","15","6","0","0","0","0","0","210"
"CommandCenter","3","0","0","10","10","5","0","0","0","250"
"EnergyInstitute","3","0","0","6.3579","0.3179","0.3179","0.0064","0","0","70"
"FissionReactorFarm","3","0","6","3","0","0","0.5","0","0","95"
"Foundry","3","0","0","5","5","0.5","0","0","0","105"
"FusionReactorFarm","3","0","10","6","0","0","0.1","0","0","161"
"GeriatricsFacility","3","2.25","11.25","7.5","0","0","0","0","0","210"
"HeavyFissionReactorFarm","3","0","6","3","0","0","0.75","0","0","97.5"
"HeavyFusionReactorFarm","3","0","10","6","1","1","0.2","0","0","182"
"Helium-3Mine","3","0","1","1","5","0.75","0","0","0","77.5"
"InformationScienceInstitute","3","0","1.5","0.25","0.25","0.25","0","0","0","22.5"
"InterstellarLaunchingLaser","3","0","0","0","0","0","0","0","0","0"
"LifeScienceInstitute","3","0","3","3","0","0","0","0","0","60"
"MarineBattalionBarracks","3","0","0","3","3","0.3","0","0","0","63"
"MaterialsInstitute","3","0","1.5","1.5","1.5","0.75","0","0","0","52.5"
"MediaCenter","3","0","0","0.5","0.5","0.5","0","0","0","15"
"MilitaryScienceInstitute","3","0","0","0.5","0.5","0.5","0","0","0","15"
"NanofacturingComplex","3","0","5","5","15","1.5","0","0","0","265"
"ResearchUniversity","3","0","8.4","8.4","0","0","0","0","0","168"
"RingCore","3","0","0","0","0","0","0","0","0","0"
"SentinelComplex","3","0","0","0","0","0","0","0","0","0"
"SocialScienceInstitute","3","0","0","0.5","0.5","0.5","0","0","0","15"
"SolarFarm","3","0","0","0","0","0","0","0","0","0"
"Soletta","3","0","0","0","1.92","0.32","0","0","0","22.4"
"SpaceResort","3","6","10","5","0","0","0","0","0","210"
"SpaceScienceInstitute","3","0","0","0.5","0.5","0.5","0","0","0","15"
"Spaceworks","3","0","0","0","10","1","0","0","0","110"
"Supercollider","3","0","15","15","10","10","5","0","0","550"
"XenoscienceInstitute","3","0","0","0.5","0.5","0.5","0","0","0","15"
