delta_v_m_s,isp_s,wet_mass_kg,mass_ratio,propellant_fraction,propellant_kg,dry_plus_payload_kg,fixed_hardware_kg,flexible_payload_kg,payload_fraction
3000,230,500,3.7813,0.73554,367.77,132.23,50,82.23,0.16446
3000,250,500,3.3996,0.70585,352.924,147.076,50,97.076,0.19415
3000,300,500,2.7724,0.6393,319.651,180.349,50,130.349,0.2607
3500,230,500,4.7197,0.78812,394.061,105.939,50,55.939,0.11188
3500,250,500,4.1687,0.76012,380.058,119.942,50,69.942,0.13988
3500,300,500,3.286,0.69568,347.839,152.161,50,102.161,0.20432
4000,230,500,5.891,0.83025,415.124,84.876,50,34.876,0.06975
4000,250,500,5.1118,0.80437,402.187,97.813,50,47.813,0.09563
4000,300,500,3.8947,0.74324,371.621,128.379,50,78.379,0.15676
4100,230,500,6.158,0.83761,418.805,81.195,50,31.195,0.06239
4100,250,500,5.3246,0.81219,406.096,93.904,50,43.904,0.08781
4100,300,500,4.0294,0.75182,375.911,124.089,50,74.089,0.14818
4200,230,500,6.4372,0.84465,422.326,77.674,50,27.674,0.05535
4200,250,500,5.5463,0.8197,409.849,90.151,50,40.151,0.0803
4200,300,500,4.1687,0.76012,380.058,119.942,50,69.942,0.13988
4300,230,500,6.729,0.85139,425.695,74.305,50,24.305,0.04861
4300,250,500,5.7772,0.8269,413.452,86.548,50,36.548,0.0731
4300,300,500,4.3128,0.76813,384.067,115.933,50,65.933,0.13187
