dataName,friendlyName,maxOutput_GW,specificPower_tGW,powerPlantClass,efficiency,crew,weightedBuildMaterials/water,weightedBuildMaterials/volatiles,weightedBuildMaterials/metals,weightedBuildMaterials/nobleMetals,iconResource,requiredProjectName,weightedBuildMaterials/fissiles,weightedBuildMaterials/exotics,weightedBuildMaterials/antimatter
FuelCellI,Fuel Cell I,0.2,2800,Fuel_Cell,0.7,0,0.35,0.3,0.3,0.05,shipbuildericons/ICO_FuelCellI,,,,
FuelCellII,Fuel Cell II,0.8,450,Fuel_Cell,0.7,0,0.35,0.3,0.3,0.05,shipbuildericons/ICO_FuelCellII,Project_FuelCellII,,,
FuelCellIII,Fuel Cell III,1.5,120,Fuel_Cell,0.72,0,0.35,0.3,0.3,0.05,shipbuildericons/ICO_FuelCellIII,Project_FuelCellIII,,,
SolidCoreFissionReactorI,Solid Core Fission Reactor I,2,40,Solid_Core_Fission,0.75,6,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorI,Project_SolidCoreFissionReactorI,0.05,,
SolidCoreFissionReactorII,Solid Core Fission Reactor II,6,34,Solid_Core_Fission,0.775,6,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorII,Project_SolidCoreFissionReactorII,0.05,,
SolidCoreFissionReactorIII,Solid Core Fission Reactor III,20,28,Solid_Core_Fission,0.8,6,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorIII,Project_SolidCoreFissionReactorIII,0.05,,
SolidCoreFissionReactorIV,Solid Core Fission Reactor IV,60,12,Solid_Core_Fission,0.825,6,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorIV,Project_SolidCoreFissionReactorIV,0.05,,
SolidCoreFissionReactorV,Solid Core Fission Reactor V,125,8,Solid_Core_Fission,0.85,6,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorV,Project_SolidCoreFissionReactorV,0.05,,
SolidCoreFissionReactorVI,Compact Solid Core Fission Reactor I,1.5,6,Solid_Core_Fission,0.775,3,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorVI,Project_SolidCoreFissionReactorVI,0.05,,
SolidCoreFissionReactorVII,Compact Solid Core Fission Reactor II,5,5,Solid_Core_Fission,0.8,3,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorVII,Project_SolidCoreFissionReactorVII,0.05,,
SolidCoreFissionReactorVIII,Compact Solid Core Fission Reactor III,12,4,Solid_Core_Fission,0.825,3,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorVIII,Project_SolidCoreFissionReactorVIII,0.05,,
SolidCoreFissionReactorIX,Compact Solid Core Fission Reactor IV,20,3,Solid_Core_Fission,0.85,3,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorIX,Project_SolidCoreFissionReactorIX,0.05,,
SolidCoreFissionReactorX,Compact Solid Core Fission Reactor V,20,2,Solid_Core_Fission,0.875,3,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorX,Project_SolidCoreFissionReactorX,0.05,,
MoltenSaltFissionReactorI,Molten Salt Fission Reactor I,40,2,Molten_Salt_Core_Fission,0.92,8,0.1,0.2,0.5,0.15,shipbuildericons/ICO_MoltenSaltFissionReactorI,Project_MoltenSaltFissionReactorI,0.05,,
MoltenSaltFissionReactorII,Molten Salt Fission Reactor II,420,1.8,Molten_Salt_Core_Fission,0.93,8,0.1,0.2,0.5,0.15,shipbuildericons/ICO_MoltenSaltFissionReactorII,Project_MoltenSaltFissionReactorII,0.05,,
MoltenCoreFissionReactorI,Molten Core Fission Reactor I,8,4,Liquid_Core_Fission,0.85,6,0.1,0.1,0.55,0.2,shipbuildericons/ICO_MoltenCoreFissionReactorI,Project_MoltenCoreFissionReactorI,0.05,,
MoltenCoreFissionReactorII,Molten Core Fission Reactor II,35,3.5,Liquid_Core_Fission,0.88,6,0.1,0.1,0.55,0.2,shipbuildericons/ICO_MoltenCoreFissionReactorII,Project_MoltenCoreFissionReactorII,0.05,,
MoltenCoreFissionReactorIII,Molten Core Fission Reactor III,420,3,Liquid_Core_Fission,0.9,6,0.1,0.1,0.55,0.2,shipbuildericons/ICO_MoltenCoreFissionReactorIII,Project_MoltenCoreFissionReactorIII,0.05,,
VaporCoreFissionReactorI,Vapor Core Fission Reactor I,6.5,4,Gas_Core_Fission,0.9,8,0.1,0.1,0.5,0.25,shipbuildericons/ICO_VaporCoreFissionReactorI,Project_VaporCoreFissionReactorI,0.05,,
VaporCoreFissionReactorII,Vapor Core Fission Reactor II,20,3,Gas_Core_Fission,0.92,6,0.1,0.1,0.5,0.25,shipbuildericons/ICO_VaporCoreFissionReactorII,Project_VaporCoreFissionReactorII,0.05,,
VaporCoreFissionReactorIII,Vapor Core Fission Reactor III,60,2.5,Gas_Core_Fission,0.92,5,0.1,0.1,0.5,0.25,shipbuildericons/ICO_VaporCoreFissionReactorIII,Project_VaporCoreFissionReactorIII,0.05,,
GasCoreFissionReactorI,Gas Core Fission Reactor I,8,8,Gas_Core_Fission,0.9,6,0.1,0.1,0.45,0.3,shipbuildericons/ICO_GasCoreFissionReactorI,Project_GasCoreFissionReactorI,0.05,,
GasCoreFissionReactorII,Gas Core Fission Reactor II,33,5,Gas_Core_Fission,0.91,6,0.1,0.1,0.45,0.3,shipbuildericons/ICO_GasCoreFissionReactorII,Project_GasCoreFissionReactorII,0.05,,
GasCoreFissionReactorIII,Gas Core Fission Reactor III,150,3,Gas_Core_Fission,0.95,6,0.1,0.1,0.45,0.3,shipbuildericons/ICO_GasCoreFissionReactorIII,Project_GasCoreFissionReactorIII,0.05,,
GasCoreFissionReactorIV,Gas Core Fission Reactor IV,1650,10,Gas_Core_Fission,0.93,6,0.1,0.1,0.45,0.3,shipbuildericons/ICO_GasCoreFissionReactorIV,Project_GasCoreFissionReactorIV,0.05,,
GasCoreFissionReactorV,Gas Core Fission Reactor V,1650,3.5,Gas_Core_Fission,0.95,6,0.1,0.1,0.45,0.3,shipbuildericons/ICO_GasCoreFissionReactorV,Project_GasCoreFissionReactorV,0.05,,
GasCoreFissionReactorVI,Gas Core Fission Reactor VI,1650,1,Gas_Core_Fission,0.96,6,0.1,0.1,0.45,0.3,shipbuildericons/ICO_GasCoreFissionReactorVI,Project_GasCoreFissionReactorVI,0.05,,
ElectrostaticConfinementFusionReactorI,Electrostatic Confinement Fusion Reactor I,46,1,Electrostatic_Confinement_Fusion,0.95,4,0.02,0.3,0.5,0.16,shipbuildericons/ICO_ElectrostaticConfinementFusionReactorI,Project_ElectrostaticConfinementFusionReactorI,0.02,,
