hull,appearanceIndex,modelResource,meshName,transverseX_m,transverseY_m,longitudinalLength_m,inscribedCylinder_m3
Gunship,0,ships/Gunship,Earth_Gunship_Radiators,6.050045,5.163888,12.617001,264.240616
Gunship,1,ships/Gunship_1,Earth_Gunship_ALT_Rads,9.405960,7.813983,9.429598,452.197326
Gunship,2,ships_prm/Gunship_2,Earth_GS_PRM_Rads,6.053641,6.285502,11.024545,317.310118
Gunship,3,ships_prm/Gunship_3,Earth_DLCA_Radiator,7.983095,7.392303,16.595024,712.241612
Escort,0,ships/Escort,Earth_ES_Radiators,6.050046,5.163887,12.617003,264.240558
Escort,1,ships/Escort_1,Earth_ES_ALT_Rads,9.405960,7.813983,9.429598,452.197326
Escort,2,ships_prm/Escort_2,Earth_ES_PRM_Rads,6.053641,6.285502,11.024545,317.310118
Escort,3,ships_prm/Escort_3,Earth_DLCA_Radiator,7.983095,7.392303,16.595024,712.241612
Corvette,0,ships/Corvette,Earth_CO_Radiators,6.050045,5.163888,12.617001,264.240616
Corvette,1,ships/Corvette_1,Earth_CO_ALT_Rads,9.405960,7.813983,9.429596,452.197235
Corvette,2,ships_prm/Corvette_2,Earth_CO_PRM_Rads,7.505340,7.792804,13.668296,604.707011
Corvette,3,ships_prm/Corvette_3,Earth_DLCA_Radiator,8.426339,7.802746,17.516428,837.587811
Frigate,0,ships/Frigate,Earth_Frigate_Radiators,6.092426,5.200215,15.647747,332.341240
Frigate,1,ships/Frigate_1,Earth_FR_ALT_Rads,9.405960,7.813983,14.084919,675.443739
Frigate,2,ships_prm/Frigate_2,Earth_FRI_PRM_Rads,9.551798,9.917650,17.395196,1246.492028
Frigate,3,ships_prm/Frigate_3,Earth_DLCA_Radiator,9.586904,8.877422,19.928978,1233.527032
Monitor,0,ships/Monitor,Earth_Monitor_Radiators,6.050046,5.163887,18.363084,384.582064
Monitor,1,ships/Monitor_1,Earth_MO_ALT_Rads,9.405960,7.813982,14.084923,675.443717
Monitor,2,ships_prm/Monitor_2,Earth_MO_PRM_Rads,12.231793,12.700298,22.275854,2617.607109
Monitor,3,ships_prm/Monitor_3,Earth_DLCA_Radiator,11.316174,10.478717,23.523735,2028.674504
Destroyer,0,ships/Destroyer,Earth_Destroyer_Radiators,6.050046,5.163887,18.363084,384.582064
Destroyer,1,ships/Destroyer_1,Earth_DES_ALT_Rads,9.405960,7.813982,14.084923,675.443717
Destroyer,2,ships_prm/Destroyer_2,Earth_DES_PRM_Rads,12.231792,12.700302,22.275854,2617.606700
Destroyer,3,ships_prm/Destroyer_3,Earth_DLCA_Radiator,11.316174,10.478717,23.523735,2028.674504
Cruiser,0,ships/Cruiser,Earth_LC_Radiators,12.743567,11.924672,17.811676,1989.241734
Cruiser,1,ships/Cruiser_1,Earth_CR_ALT_Rads,11.949644,9.927143,17.893951,1384.983819
Cruiser,2,ships_prm/Cruiser_2,Earth_LC_PRM_Rads,14.006929,14.543438,25.508638,3930.637720
Cruiser,3,ships_prm/Cruiser_3,Earth_DLCA_Radiator,13.579409,12.574461,28.228485,3505.550347
Battlecruiser,0,ships/Battlecruiser,Earth_Battlecruiser_Radiators,12.743571,11.924674,17.811678,1989.242548
Battlecruiser,1,ships/Battlecruiser_1,Earth_BC_ALT_Rads,11.949644,9.927143,17.893951,1384.983819
Battlecruiser,2,ships_prm/Battlecruiser_2,Earth_BC_PRM_Rads,14.006929,14.543442,25.508638,3930.637720
Battlecruiser,3,ships_prm/Battlecruiser_3,Earth_DLCA_Radiator,13.579408,12.574461,28.228485,3505.550347
Lancer,0,ships/Lancer,Earth_Lancer_Radiators,13.063269,13.063269,17.651413,2365.773019
Lancer,1,ships/Lancer_1,Earth_LAN_ALT_Rads,13.706997,11.387063,20.525498,2090.292333
Lancer,2,ships_prm/Lancer_2,Earth_LAN_PRM_Rads,19.263143,20.000999,35.080966,10223.879025
Lancer,3,ships_prm/Lancer_3,Earth_DLCA_Radiator,17.932220,16.605143,37.276978,8072.643840
Battleship,0,ships/Battleship,Earth_Battleship_Radiators,18.045214,16.885634,25.221781,5648.074162
Battleship,1,ships/Battleship_1,Earth_BS_ALT_Rads,13.706997,11.387062,20.525498,2090.291983
Battleship,2,ships_prm/Battleship_2,Earth_BS_PRM_Rads,15.633131,16.231940,28.470186,5464.773080
Battleship,3,ships_prm/Battleship_3,Earth_DLCA_Radiator,17.055618,15.793413,35.454727,6945.700026
Dreadnought,0,ships/Dreadnought,Earth_DR_Radiators,22.123795,22.123795,29.853409,11476.330412
Dreadnought,1,ships/Dreadnought_1,Earth_DR_ALT_Rads,13.706997,11.387065,20.525498,2090.293033
Dreadnought,2,ships_prm/Dreadnought_2,Earth_DR_PRM_Rads,19.263143,20.000999,35.080966,10223.879025
Dreadnought,3,ships_prm/Dreadnought_3,Earth_DLCA_Radiator,19.851875,18.382732,41.267494,10952.622272
Titan,0,ships/Titan,Earth_TI_Radiators,24.692368,24.692368,33.319397,15955.575747
Titan,1,ships/Titan_1,Earth_TI_ALT_Rads,19.789862,16.440393,29.634262,6290.836709
Titan,2,ships_prm/Titan_2,Earth_TI_PRM_Rads,22.617809,23.484180,41.190300,16549.539439
Titan,3,ships_prm/Titan_3,Earth_DLCA_Radiator,22.450294,20.788855,46.669006,15840.889300
