dataName,alien,appearanceIndex,modelResource,prefabAssetPath,imageFile,mainHullX_m,mainHullY_m,mainHullLength_m,mainHullEllipticalEnvelope_m3,templateStoredVolume_m3,runtimeCylinder_m3,noseHardpoints,hullHardpoints,utilitySlots,weaponSlots,countedSlots,includedMeshCount,excludedMachineryMeshCount,separationNote
Gunship,false,0,ships/Gunship,assets/artresources/ships/earth/gunship/gunship.prefab,gunship-appearance-0.png,14.216000,30.194000,32.687000,11019.664214,9719,9719.302272,1,0,2,1,3,3,2,drive subtree; radiator/reactor-bay mesh
Gunship,false,1,ships/Gunship_1,assets/artresources/ships/earth_alt/gunship/gunship_1.prefab,gunship-appearance-1.png,15.864000,15.014000,34.610000,6474.448755,9719,9719.302272,1,0,2,1,3,3,2,drive subtree; radiator/reactor-bay mesh
Gunship,false,2,ships_prm/Gunship_2,assets/artresources/ships/earth_prm/gunship/gunship_2.prefab,gunship-appearance-2.png,10.867000,10.867000,37.222000,3452.257356,9719,9719.302272,1,0,2,1,3,2,2,drive subtree; radiator/reactor-bay mesh
Gunship,false,3,ships_prm/Gunship_3,assets/artresources/ships/dlca/gunship/gunship_3.prefab,gunship-appearance-3.png,13.036000,12.109000,28.836000,3574.852162,9719,9719.302272,1,0,2,1,3,2,2,drive subtree; radiator/reactor-bay mesh
Escort,false,0,ships/Escort,assets/artresources/ships/earth/escort/escort.prefab,escort-appearance-0.png,14.940000,14.516000,39.344000,6701.582165,10956,10956.304379,0,2,2,2,4,3,2,drive subtree; radiator/reactor-bay mesh
Escort,false,1,ships/Escort_1,assets/artresources/ships/earth_alt/escort/escort_1.prefab,escort-appearance-1.png,15.809000,13.797000,40.547000,6946.026661,10956,10956.304379,0,2,2,2,4,3,2,drive subtree; radiator/reactor-bay mesh
Escort,false,2,ships_prm/Escort_2,assets/artresources/ships/earth_prm/escort/escort_2.prefab,escort-appearance-2.png,13.240000,13.771000,40.325000,5774.458438,10956,10956.304379,0,2,2,2,4,2,2,drive subtree; radiator/reactor-bay mesh
Escort,false,3,ships_prm/Escort_3,assets/artresources/ships/dlca/escort/escort_3.prefab,escort-appearance-3.png,22.716000,11.209000,28.129000,5625.382378,10956,10956.304379,0,2,2,2,4,2,2,drive subtree; radiator/reactor-bay mesh
Corvette,false,0,ships/Corvette,assets/artresources/ships/earth/corvette/corvette.prefab,corvette-appearance-0.png,16.797000,9.008000,42.671000,5070.771061,14754,14753.704499,1,1,3,2,5,3,2,drive subtree; radiator/reactor-bay mesh
Corvette,false,1,ships/Corvette_1,assets/artresources/ships/earth_alt/corvette/corvette_1.prefab,corvette-appearance-1.png,14.252000,16.328000,57.156000,10445.991443,14754,14753.704499,1,1,3,2,5,6,2,drive subtree; radiator/reactor-bay mesh
Corvette,false,2,ships_prm/Corvette_2,assets/artresources/ships/earth_prm/corvette/corvette_2.prefab,corvette-appearance-2.png,19.208000,15.665000,58.775000,13890.245741,14754,14753.704499,1,1,3,2,5,3,2,drive subtree; radiator/reactor-bay mesh
Corvette,false,3,ships_prm/Corvette_3,assets/artresources/ships/dlca/corvette/corvette_3.prefab,corvette-appearance-3.png,19.372000,15.810000,45.748000,11004.382981,14754,14753.704499,1,1,3,2,5,3,2,drive subtree; radiator/reactor-bay mesh
Frigate,false,0,ships/Frigate,assets/artresources/ships/earth/frigate/frigate.prefab,frigate-appearance-0.png,17.760000,15.056000,65.200000,13692.464509,25447,25446.900494,1,2,5,3,8,4,2,drive subtree; radiator/reactor-bay mesh
Frigate,false,1,ships/Frigate_1,assets/artresources/ships/earth_alt/frigate/frigate_1.prefab,frigate-appearance-1.png,15.518000,13.272000,86.076000,13923.559050,25447,25446.900494,1,2,5,3,8,7,2,drive subtree; radiator/reactor-bay mesh
Frigate,false,2,ships_prm/Frigate_2,assets/artresources/ships/earth_prm/frigate/frigate_2.prefab,frigate-appearance-2.png,18.294000,16.899000,76.025000,18459.201811,25447,25446.900494,1,2,5,3,8,4,2,drive subtree; radiator/reactor-bay mesh
Frigate,false,3,ships_prm/Frigate_3,assets/artresources/ships/dlca/frigate/frigate_3.prefab,frigate-appearance-3.png,20.978000,16.215000,83.591000,22332.808913,25447,25446.900494,1,2,5,3,8,4,2,drive subtree; radiator/reactor-bay mesh
Monitor,false,0,ships/Monitor,assets/artresources/ships/earth/monitor/monitor.prefab,monitor-appearance-0.png,16.567000,18.409000,71.642000,17160.430191,22698,22698.006922,0,4,3,4,7,5,2,drive subtree; radiator/reactor-bay mesh
Monitor,false,1,ships/Monitor_1,assets/artresources/ships/earth_alt/monitor/monitor_1.prefab,monitor-appearance-1.png,20.717000,15.652000,119.350000,30394.781800,22698,22698.006922,0,4,3,4,7,9,2,drive subtree; radiator/reactor-bay mesh
Monitor,false,2,ships_prm/Monitor_2,assets/artresources/ships/earth_prm/monitor/monitor_2.prefab,monitor-appearance-2.png,27.719000,21.209000,97.618000,45073.216601,22698,22698.006922,0,4,3,4,7,3,2,drive subtree; radiator/reactor-bay mesh
Monitor,false,3,ships_prm/Monitor_3,assets/artresources/ships/dlca/monitor/monitor_3.prefab,monitor-appearance-3.png,23.711000,23.557000,110.998000,48694.693266,22698,22698.006922,0,4,3,4,7,5,2,drive subtree; radiator/reactor-bay mesh
Destroyer,false,0,ships/Destroyer,assets/artresources/ships/earth/destroyer/destroyer.prefab,destroyer-appearance-0.png,23.306000,17.049000,70.694000,22061.954731,41548,41547.562844,2,2,5,4,9,5,2,drive subtree; radiator/reactor-bay mesh
Destroyer,false,1,ships/Destroyer_1,assets/artresources/ships/earth_alt/destroyer/destroyer_1.prefab,destroyer-appearance-1.png,27.903000,25.457000,118.540000,66132.583930,41548,41547.562844,2,2,5,4,9,6,2,drive subtree; radiator/reactor-bay mesh
Destroyer,false,2,ships_prm/Destroyer_2,assets/artresources/ships/earth_prm/destroyer/destroyer_2.prefab,destroyer-appearance-2.png,26.869000,21.342000,95.178000,42867.288585,41548,41547.562844,2,2,5,4,9,4,2,drive subtree; radiator/reactor-bay mesh
