dataName,friendlyName,mount,crew,sortOrder,requiredProjectName,attackMode,defenseMode,hp,baseWeaponMass_tons,cooldown_s,efficiency,shotPower_MJ,wavelength_nm,mirrorRadius_cm,beam_quality,jitter_Rad,bombardmentValue,targetingRange_km,pivotRange_deg,isPointDefenseTargetable,weightedBuildMaterials/volatiles,weightedBuildMaterials/metals,weightedBuildMaterials/nobleMetals,weightedBuildMaterials/exotics,iconResource,modelResource,effectResource,fireSoundFXResource
PointDefenseLaserTurret,Point Defense Laser Turret,OneHull,2,1,Project_PointDefenseLaserTurret,false,true,1,20,5,0.25,50,1080,30,1.2,1e-7,0,250,180,false,0.1,0.7,0.2,,shipbuildericons/ICO_PointDefenseLaserTurret,shipweapons/point_defense_laser_battery,spaceCombat/Standard Laser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Turret
60cmIRLaserBattery,60 cm IR Laser Battery,OneHull,2,2,Project_60cmIRLaserBattery,true,true,1,150,30,0.25,100,810,60,1.2,9e-8,0.2,600,180,false,0.1,0.7,0.2,,shipbuildericons/ICO_60cmIRLaserBattery,shipweapons/small_laser_battery,spaceCombat/Standard Laser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Turret
120cmIRLaserBattery,120 cm IR Laser Battery,TwoHullHoriz,3,3,Project_60cmIRLaserBattery,true,true,1,200,30,0.25,150,810,120,1.2,7.2e-8,0.4,700,180,false,0.1,0.7,0.2,,shipbuildericons/ICO_120cmIRLaserBattery,shipweapons/medium_laser_battery,spaceCombat/Standard Laser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Turret
360cmIRLaserBattery,360 cm IR Laser Battery,FourHull,4,4,Project_60cmIRLaserBattery,true,true,1,400,30,0.25,250,810,360,1.2,5.8e-8,0.8,850,180,false,0.1,0.7,0.2,,shipbuildericons/ICO_360cmIRLaserBattery,shipweapons/large_laser_battery,spaceCombat/Standard Laser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Turret
240cmIRLaserCannon,240 cm IR Laser Cannon,OneNose,4,5,Project_240cmIRLaserCannon,true,true,1,300,30,0.25,200,810,240,1.2,4.6e-8,0.6,800,45,false,0.1,0.7,0.2,,shipbuildericons/ICO_240cmIRLaserCannon,shipweapons/small_laser_cannon,spaceCombat/Standard Laser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Cannon
480cmIRLaserCannon,480 cm IR Laser Cannon,TwoNoseVert,5,6,Project_240cmIRLaserCannon,true,true,1,500,30,0.25,300,810,480,1.2,3.7e-8,1,900,45,false,0.1,0.7,0.2,,shipbuildericons/ICO_480cmIRLaserCannon,shipweapons/medium_laser_cannon,spaceCombat/Standard Laser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Cannon
720cmIRLaserCannon,720 cm IR Laser Cannon,ThreeNoseAngle,6,7,Project_240cmIRLaserCannon,true,true,1,700,30,0.25,350,810,720,1.2,2.9e-8,1.4,950,45,false,0.1,0.7,0.2,,shipbuildericons/ICO_720cmIRLaserCannon,shipweapons/large_laser_cannon,spaceCombat/Standard Laser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Cannon
960cmIRLaserCannon,960 cm IR Laser Cannon,FourNose,8,8,Project_240cmIRLaserCannon,true,true,1,900,30,0.25,400,810,960,1.2,2.4e-8,2,1000,45,false,0.1,0.7,0.2,,shipbuildericons/ICO_960cmIRLaserCannon,shipweapons/huge_laser_cannon,spaceCombat/Standard Laser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Basic_Laser_Cannon
PointDefenseArcLaserTurret,Point Defense Arc Laser Turret,OneHull,2,9,Project_PointDefenseArcLaserTurret,false,true,1,20,4,0.35,50,1080,30,1.15,7.5e-8,0,300,180,false,0.1,0.65,0.25,,shipbuildericons/ICO_PointDefenseArcLaserTurret,shipweapons/point_defense_laser_battery,spaceCombat/Arc Laser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Turret
60cmIRArcLaserBattery,60 cm IR Arc Laser Battery,OneHull,2,10,Project_60cmIRArcLaserBattery,true,true,1,115,20,0.35,100,810,60,1.15,7.5e-8,0.2,600,180,false,0.1,0.65,0.25,,shipbuildericons/ICO_60cmIRArcLaserBattery,shipweapons/small_laser_battery,spaceCombat/Arc Laser Beam Red,event:/SFX/Game_SFX/Lasers/trig_SFX_Arc_Laser_Turret
