dataName,friendlyName,family,tier,mount,slots,baseWeaponMass_tons,crew,magazine,ammoMass_kg,proposed_ammoMass_kg,ammoMass_delta_pct,vanilla_massDerivedDiameter_mm,proposed_massDerivedDiameter_mm,massDerivedDiameter_delta_pct,vanilla_physicalCrossSection_m2,proposed_physicalCrossSection_m2,physicalCrossSection_delta_pct,warheadMass_kg,proposed_warheadMass_kg,warheadMass_delta_pct,vanilla_durability_kg,proposed_durability_kg,durability_delta_pct,salvo_shots,proposed_salvo_shots,salvo_shots_delta,vanilla_intraSalvoCooldown_s,proposed_intraSalvoCooldown_s,intraSalvoCooldown_delta_pct,vanilla_targetingRange_km,proposed_targetingRange_km,targetingRange_delta_pct,vanilla_cooldown_s,proposed_cooldown_s,cooldown_delta_pct,vanilla_cycle_s,proposed_cycle_s,cycle_delta_pct,vanilla_effective_rpm,proposed_effective_rpm,effective_rpm_delta_pct,first_shot_travel_before_next_salvo_km,full_salvo_arrival_range_km,vanilla_muzzleVelocity_kps,proposed_muzzleVelocity_kps,muzzleVelocity_delta_pct,coil_equivalent_velocity_kps,alien_velocity_floor_applied,vanilla_efficiency,proposed_efficiency,efficiency_delta_pp,efficiency_delta_pct,vanilla_damage_MJ_per_shot,proposed_damage_MJ_per_shot,damage_delta_pct,vanilla_input_GJ_per_shot,proposed_input_GJ_per_shot,input_delta_pct,vanilla_avg_input_MW,proposed_avg_input_MW,avg_input_delta_pct,vanilla_weapon_heat_MW,proposed_weapon_heat_MW,weapon_heat_delta_pct,source_template,proposal_notes
LightRailgunBatteryMk1,Light Railgun Battery Mk1,Human Rail,Mk1,OneHull,1,50,3,1000,12,14,0.166667,42.938284,45.202274,0.052727,0.001448,0.001605,0.108233,9,10.5,0.166667,9,10.5,0.166667,1,1,0,0,0,0,500,500,0,30,8,-0.733333,30,8,-0.733333,2,7.5,2.75,24,24,3,3,0,,false,0.25,0.25,0,0,40.5,47.25,0.166667,0.216,0.252,0.166667,7.2,31.5,3.375,5.4,23.625,3.375,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Implemented staged human-rail test: projectile mass and cycle reload only; vanilla one-shot salvo and zero intra-salvo delay retained.
LightRailgunBatteryMk2,Light Railgun Battery Mk2,Human Rail,Mk2,OneHull,1,45,3,1000,12,14,0.166667,42.938284,45.202274,0.052727,0.001448,0.001605,0.108233,9.6,11.2,0.166667,9.6,11.2,0.166667,1,1,0,0,0,0,550,550,0,20,6,-0.7,20,6,-0.7,3,10,2.333333,20,20,3.3,3.3,0,,false,0.3,0.3,0,0,52.272,60.984,0.166667,0.2178,0.2541,0.166667,10.89,42.35,2.888889,7.623,29.645,2.888889,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Implemented staged human-rail test: projectile mass and cycle reload only; vanilla one-shot salvo and zero intra-salvo delay retained.
LightRailgunBatteryMk3,Light Railgun Battery Mk3,Human Rail,Mk3,OneHull,1,40,3,1000,12,14,0.166667,42.938284,45.202274,0.052727,0.001448,0.001605,0.108233,10.5,12.25,0.166667,10.5,12.25,0.166667,1,1,0,0,0,0,600,600,0,10,4,-0.6,10,4,-0.6,6,15,1.5,14,14,3.6,3.6,0,,false,0.35,0.35,0,0,68.04,79.38,0.166667,0.222171,0.2592,0.166667,22.217143,64.8,1.916667,14.441143,42.12,1.916667,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Implemented staged human-rail test: projectile mass and cycle reload only; vanilla one-shot salvo and zero intra-salvo delay retained.
RailgunBatteryMk1,Railgun Battery Mk1,Human Rail,Mk1,TwoHullHoriz,2,100,4,1200,24,30,0.25,54.098848,58.276217,0.077217,0.002299,0.002667,0.160397,18,22.5,0.25,18,22.5,0.25,1,1,0,0,0,0,650,650,0,30,12,-0.6,30,12,-0.6,2,5,1.5,40,40,3.3,3.3,0,,false,0.25,0.25,0,0,98.01,122.5125,0.25,0.52272,0.6534,0.25,17.424,54.45,2.125,13.068,40.8375,2.125,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Implemented staged human-rail test: projectile mass and cycle reload only; vanilla one-shot salvo and zero intra-salvo delay retained.
RailgunBatteryMk2,Railgun Battery Mk2,Human Rail,Mk2,TwoHullHoriz,2,90,4,1200,24,30,0.25,54.098848,58.276217,0.077217,0.002299,0.002667,0.160397,19.2,24,0.25,19.2,24,0.25,1,1,0,0,0,0,700,700,0,20,9,-0.55,20,9,-0.55,3,6.666667,1.222222,32,32,3.6,3.6,0,,false,0.3,0.3,0,0,124.416,155.52,0.25,0.5184,0.648,0.25,25.92,72,1.777778,18.144,50.4,1.777778,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Implemented staged human-rail test: projectile mass and cycle reload only; vanilla one-shot salvo and zero intra-salvo delay retained.
RailgunBatteryMk3,Railgun Battery Mk3,Human Rail,Mk3,TwoHullHoriz,2,80,4,1200,24,30,0.25,54.098848,58.276217,0.077217,0.002299,0.002667,0.160397,21,26.25,0.25,21,26.25,0.25,1,1,0,0,0,0,750,750,0,10,6,-0.4,10,6,-0.4,6,10,0.666667,26,26,4.32,4.32,0,,false,0.35,0.35,0,0,195.9552,244.944,0.25,0.639854,0.799817,0.25,63.985371,133.302857,1.083333,41.590491,86.646857,1.083333,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Implemented staged human-rail test: projectile mass and cycle reload only; vanilla one-shot salvo and zero intra-salvo delay retained.
HeavyRailgunBatteryMk1,Heavy Railgun Battery Mk1,Human Rail,Mk1,FourHull,4,200,5,1440,48,48,0,68.160277,68.160277,0,0.003649,0.003649,0,36,36,0,36,36,0,1,1,0,0,0,0,800,800,0,30,30,0,30,30,0,2,2,0,108,108,3.6,3.6,0,,false,0.25,0.25,0,0,233.28,233.28,0,1.24416,1.24416,0,41.472,41.472,0,31.104,31.104,0,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Unchanged in staged projectile test build.
HeavyRailgunBatteryMk2,Heavy Railgun Battery Mk2,Human Rail,Mk2,FourHull,4,180,5,1440,48,48,0,68.160277,68.160277,0,0.003649,0.003649,0,38.4,38.4,0,38.4,38.4,0,1,1,0,0,0,0,850,850,0,20,20,0,20,20,0,3,3,0,86,86,4.32,4.32,0,,false,0.3,0.3,0,0,358.31808,358.31808,0,1.492992,1.492992,0,74.6496,74.6496,0,52.25472,52.25472,0,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Unchanged in staged projectile test build.
HeavyRailgunBatteryMk3,Heavy Railgun Battery Mk3,Human Rail,Mk3,FourHull,4,160,5,1440,48,48,0,68.160277,68.160277,0,0.003649,0.003649,0,42,42,0,42,42,0,1,1,0,0,0,0,900,900,0,10,10,0,10,10,0,6,6,0,52,52,5.18,5.18,0,,false,0.35,0.35,0,0,563.4804,563.4804,0,1.839936,1.839936,0,183.9936,183.9936,0,119.59584,119.59584,0,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Unchanged in staged projectile test build.
LightRailCannonMk1,Light Rail Cannon Mk1,Human Rail,Mk1,OneNose,1,60,4,200,30,37.5,0.25,58.276217,62.776152,0.077217,0.002667,0.003095,0.160397,22.5,28.125,0.25,22.5,28.125,0.25,1,1,0,0,0,0,550,550,0,45,16,-0.644444,45,16,-0.644444,1.333333,3.75,1.8125,58,58,3.6,3.6,0,,false,0.25,0.25,0,0,145.8,182.25,0.25,0.7776,0.972,0.25,17.28,60.75,2.515625,12.96,45.5625,2.515625,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,Implemented staged human-rail test: projectile mass and cycle reload only; vanilla one-shot salvo and zero intra-salvo delay retained.
