dataName,friendlyName,family,tier,mount,peer_dataName,original_muzzleVelocity_kps,proposed_muzzleVelocity_kps,muzzleVelocity_delta_kps,muzzleVelocity_delta_pct,original_targetingRange_km,proposed_targetingRange_km,targetingRange_delta_km,targetingRange_delta_pct,original_cooldown_s,proposed_cooldown_s,cooldown_delta_s,cooldown_delta_pct,salvo_shots,original_intraSalvoCooldown_s,proposed_intraSalvoCooldown_s,intraSalvoCooldown_delta_s,intraSalvoCooldown_delta_pct,original_cycle_s,proposed_cycle_s,cycle_delta_s,cycle_delta_pct,original_warheadMass_kg,proposed_warheadMass_kg,warheadMass_delta_kg,warheadMass_delta_pct,original_damage_MJ_per_shot,proposed_damage_MJ_per_shot,damage_delta_pct,original_sustained_damage_MW,proposed_sustained_damage_MW,sustained_damage_delta_pct,peer_targetingRange_km,peer_sustained_damage_MW,proposed_range_margin_km,proposed_sustained_margin_pct,source_template,proposal_rule
LightCoilgunBatteryMk1,Light Coilgun Battery Mk1,Human Coil,Mk1,OneHull,LightRailgunBatteryMk2,4.5,5.6,1.1,0.244444,500,600,100,0.2,28,28,0,0,3,10,4,-6,-0.6,48,36,-12,-0.25,10,10,0,0,101.25,156.8,0.548642,6.328125,13.066667,1.064856,550,10.164,50,0.285583,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
LightCoilgunBatteryMk2,Light Coilgun Battery Mk2,Human Coil,Mk2,OneHull,LightRailgunBatteryMk3,5.4,6.8,1.4,0.259259,550,650,100,0.181818,18,18,0,0,4,10,4,-6,-0.6,48,30,-18,-0.375,10,10,0,0,145.8,231.2,0.585734,12.15,30.826667,1.537174,600,19.845,50,0.553372,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
LightCoilgunBatteryMk3,Light Coilgun Battery Mk3,Human Coil,Mk3,OneHull,,6.3,7.9,1.6,0.253968,600,750,150,0.25,8,8,0,0,5,10,4,-6,-0.6,48,24,-24,-0.5,11,10,-1,-0.090909,218.295,312.05,0.429488,22.739063,65.010417,1.858975,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
CoilgunBatteryMk1,Coilgun Battery Mk1,Human Coil,Mk1,TwoHullHoriz,RailgunBatteryMk2,5.4,6.8,1.4,0.259259,650,800,150,0.230769,28,28,0,0,3,10,6,-4,-0.4,48,40,-8,-0.166667,19,19,0,0,277.02,439.28,0.585734,17.31375,32.946,0.902881,700,17.28,100,0.906597,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
CoilgunBatteryMk2,Coilgun Battery Mk2,Human Coil,Mk2,TwoHullHoriz,RailgunBatteryMk3,6.3,7.9,1.6,0.253968,700,850,150,0.214286,18,18,0,0,4,10,6,-4,-0.4,48,36,-12,-0.25,20,20,0,0,396.9,624.1,0.572436,33.075,69.344444,1.096582,750,40.824,100,0.69862,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
CoilgunBatteryMk3,Coilgun Battery Mk3,Human Coil,Mk3,TwoHullHoriz,,7.2,9,1.8,0.25,750,900,150,0.2,8,8,0,0,5,10,6,-4,-0.4,48,32,-16,-0.333333,22,22,0,0,570.24,891,0.5625,59.4,139.21875,1.34375,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
HeavyCoilgunBatteryMk1,Heavy Coilgun Battery Mk1,Human Coil,Mk1,FourHull,HeavyRailgunBatteryMk2,6.3,7.9,1.6,0.253968,800,1000,200,0.25,28,28,0,0,3,10,6,-4,-0.4,48,40,-8,-0.166667,38,38,0,0,754.11,1185.79,0.572436,47.131875,88.93425,0.886924,850,17.915904,150,3.963983,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
HeavyCoilgunBatteryMk2,Heavy Coilgun Battery Mk2,Human Coil,Mk2,FourHull,HeavyRailgunBatteryMk3,7.2,9,1.8,0.25,850,1050,200,0.235294,18,18,0,0,4,10,6,-4,-0.4,48,36,-12,-0.25,40,40,0,0,1036.8,1620,0.5625,86.4,180,1.083333,900,56.34804,150,2.194432,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
HeavyCoilgunBatteryMk3,Heavy Coilgun Battery Mk3,Human Coil,Mk3,FourHull,,8.1,10.1,2,0.246914,900,1100,200,0.222222,8,8,0,0,5,10,6,-4,-0.4,48,32,-16,-0.333333,44,44,0,0,1443.42,2244.22,0.554793,150.35625,350.659375,1.33219,,,,,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
LightCoilCannonMk1,Light Coil Cannon Mk1,Human Coil,Mk1,OneNose,LightRailCannonMk2,5.4,6.8,1.4,0.259259,550,650,100,0.181818,34,34,0,0,3,12,5,-7,-0.583333,58,44,-14,-0.241379,23,23,0,0,335.34,531.76,0.585734,17.345172,36.256364,1.090286,600,23.328,50,0.554199,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
LightCoilCannonMk2,Light Coil Cannon Mk2,Human Coil,Mk2,OneNose,LightRailCannonMk3,6.3,7.9,1.6,0.253968,600,750,150,0.25,22,22,0,0,4,12,5,-7,-0.583333,58,37,-21,-0.362069,25,25,0,0,496.125,780.125,0.572436,34.215517,84.337838,1.4649,650,55.027383,100,0.532652,D:/Games/SteamLibrary/steamapps/common/Terra Invicta/TerraInvicta_Data/StreamingAssets/Templates/TIMagneticGunTemplate.json,velocity/range locked; inter-salvo unchanged; human light-coil intra ceil(original x0.40); all other coil/mag intra ceil(original x0.60); Light Coilgun Battery Mk3 warhead 11->10 kg; intra <= own inter and Coil I/II <= rail-peer inter
