dataName,friendlyName,maxOutput_GW,specificPower_tGW,massAtCap_tons,powerPlantClass,efficiency,crew,weightedBuildMaterials/water,weightedBuildMaterials/volatiles,weightedBuildMaterials/metals,weightedBuildMaterials/nobleMetals,iconResource,requiredProjectName,weightedBuildMaterials/fissiles,weightedBuildMaterials/exotics,weightedBuildMaterials/antimatter
FuelCellI,Fuel Cell I,0.2,5600,1120,Fuel_Cell,0.58,0,0.35,0.3,0.3,0.05,shipbuildericons/ICO_FuelCellI,,,,
FuelCellII,Fuel Cell II,0.8,3600,2880,Fuel_Cell,0.6,0,0.35,0.3,0.3,0.05,shipbuildericons/ICO_FuelCellII,Project_FuelCellII,,,
FuelCellIII,Fuel Cell III,1.5,960,1440,Fuel_Cell,0.62,0,0.35,0.3,0.3,0.05,shipbuildericons/ICO_FuelCellIII,Project_FuelCellIII,,,
SolidCoreFissionReactorI,Solid Core Fission Reactor I,2,160,320,Solid_Core_Fission,0.575,6,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorI,Project_SolidCoreFissionReactorI,0.05,,
SolidCoreFissionReactorII,Solid Core Fission Reactor II,3,136,408,Solid_Core_Fission,0.6,6,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorII,Project_SolidCoreFissionReactorII,0.05,,
SolidCoreFissionReactorIII,Solid Core Fission Reactor III,10,112,1120,Solid_Core_Fission,0.625,6,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorIII,Project_SolidCoreFissionReactorIII,0.05,,
SolidCoreFissionReactorIV,Solid Core Fission Reactor IV,30,48,1440,Solid_Core_Fission,0.65,6,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorIV,Project_SolidCoreFissionReactorIV,0.05,,
SolidCoreFissionReactorV,Solid Core Fission Reactor V,60,32,1920,Solid_Core_Fission,0.675,6,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorV,Project_SolidCoreFissionReactorV,0.05,,
SolidCoreFissionReactorVI,Compact Solid Core Fission Reactor I,0.75,24,18,Solid_Core_Fission,0.6,3,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorVI,Project_SolidCoreFissionReactorVI,0.05,,
SolidCoreFissionReactorVII,Compact Solid Core Fission Reactor II,2,20,40,Solid_Core_Fission,0.625,3,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorVII,Project_SolidCoreFissionReactorVII,0.05,,
SolidCoreFissionReactorVIII,Compact Solid Core Fission Reactor III,4,16,64,Solid_Core_Fission,0.65,3,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorVIII,Project_SolidCoreFissionReactorVIII,0.05,,
SolidCoreFissionReactorIX,Compact Solid Core Fission Reactor IV,6,12,72,Solid_Core_Fission,0.675,3,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorIX,Project_SolidCoreFissionReactorIX,0.05,,
SolidCoreFissionReactorX,Compact Solid Core Fission Reactor V,10,8,80,Solid_Core_Fission,0.7,3,0.1,0.1,0.65,0.1,shipbuildericons/ICO_SolidCoreFissionReactorX,Project_SolidCoreFissionReactorX,0.05,,
MoltenSaltFissionReactorI,Molten Salt Fission Reactor I,40,10,400,Molten_Salt_Core_Fission,0.725,8,0.1,0.2,0.5,0.15,shipbuildericons/ICO_MoltenSaltFissionReactorI,Project_MoltenSaltFissionReactorI,0.05,,
MoltenSaltFissionReactorII,Molten Salt Fission Reactor II,400,8,3200,Molten_Salt_Core_Fission,0.75,8,0.1,0.2,0.5,0.15,shipbuildericons/ICO_MoltenSaltFissionReactorII,Project_MoltenSaltFissionReactorII,0.05,,
